cultura,manejo,lado,ruas,dose,area,total_insumo_litros
Soja,Fosfato líquido,100,20,500,10000,1000
Milho,Adubo nitrogenado líquido,150,30,400,22500,1800
Milho,Adubo nitrogenado líquido,120,25,450,14400,1350
Soja,Fosfato líquido,70,5,100,4900,35
Soja,Fosfato líquido,100,20,500,10000,1000
Milho,Adubo nitrogenado líquido,150,30,400,22500,1800
Milho,Adubo nitrogenado líquido,200,240,180,40000,8640
Soja,Fosfato líquido,50,10,200,2500,100
Milho,Adubo nitrogenado líquido,10000,5000,2500,100000000,125000000
Milho,Adubo nitrogenado líquido,800,400,200,640000,64000
